SRRL BMS Dew Point Temperature,SRRL BMS Diffuse Horizontal Irradiance,SRRL BMS Direct Normal Irradiance,SRRL BMS Dry Bulb Temperature,SRRL BMS Global Horizontal Irradiance,SRRL BMS Relative Humidity,SRRL BMS Wind Speed at 19',day_of_week,weekend,hour,minute,usage
17.11357662,-1.575162053,-0.525111496,52.82600021,-1.859774947,22.20000076,6.628234863,2,0,2,1,96.8
17.01060539,-1.539335012,-0.478318602,52.59199905,-1.847668052,22.28000069,5.872128487,2,0,2,2,98.35
17.14913074,-1.508123994,-0.317145586,52.23199844,-1.888582945,22.72999954,5.256953239,2,0,2,3,99.9
17.36258996,-1.491932034,-0.415929288,52.05199814,-1.85700798,23.12000084,5.256953239,2,0,2,4,101.45
17.24378764,-1.487233043,-0.566702724,52.2140007,-1.870712042,22.85000038,4.447158813,2,0,2,5,103
17.5621627,-1.526847959,-0.571901023,52.26800156,-1.838376999,23.15999985,1.789601088,2,0,2,6,102.71
17.85274702,-1.577411056,-0.421126306,52.23199844,-1.821735978,23.52000046,2.37793231,2,0,2,7,102.42
18.01624983,-1.598942041,-0.343139499,52.2859993,-1.797755003,23.65999985,4.279383659,2,0,2,8,102.13
18.28000162,-1.614084959,-0.5874964,52.48400116,-1.823629022,23.79000092,4.250302792,2,0,2,9,101.84
19.12633357,-1.652632952,-0.805859685,52.95199966,-1.839835048,24.36000061,3.149697781,2,0,2,10,101.55
19.52559421,-1.686596036,-1.071015,53.68999863,-1.827412963,24.17000008,6.487303734,2,0,2,11,100.69
19.48312657,-1.723224998,-1.403758049,54.19400024,-1.77265203,23.68000031,8.194135666,2,0,2,12,99.83
19.65674433,-1.722162008,-1.819682002,54.44599915,-1.713484049,23.65999985,8.27690506,2,0,2,13,98.97
19.81372479,-1.729038954,-1.923668027,54.5719986,-1.667204022,23.72999954,6.990629196,2,0,2,14,98.11
19.86933176,-1.748437047,-1.845680952,54.68000031,-1.710412979,23.70000076,5.592503548,2,0,2,15,97.25
19.96947328,-1.771523952,-1.356963038,54.66199875,-1.863186955,23.82999992,3.802902222,2,0,2,16,96.85
19.91863561,-1.770501971,-0.883847415,54.5719986,-1.877177954,23.85000038,5.368803024,2,0,2,17,96.45
20.00608099,-1.784469962,-0.551104605,54.35599899,-1.967214942,24.13999939,4.782708645,2,0,2,18,96.05
